# lambda flux
# nm F$_{\lambda}$[W$m^{-2}\,nm^{-1}$]
453.0153669362993 1.9609901276585092e-18
453.1163124153821 1.9192552747911274e-18
453.21725789446486 1.865834166456225e-18
453.3182033735477 1.888590636976837e-18
453.4191488526304 1.8550027027994857e-18
453.52009433171327 1.861508987119355e-18
453.62103981079605 1.9401080169147622e-18
453.72198528987883 1.8584744359472173e-18
453.8229307689616 1.7841858607203198e-18
453.9238762480444 1.7158357398781065e-18
454.02482172712723 1.7794836680700118e-18
454.12576720621 2.0395546006151927e-18
454.2267126852928 1.8604984115876404e-18
454.3276581643756 1.8170962677800674e-18
454.42860364345836 1.858126639613605e-18
454.52954912254114 1.8742170873259976e-18
454.6304946016239 1.839993260352489e-18
454.73144008070676 1.8486568102054394e-18
454.83238555978954 1.827364121192005e-18
454.9333310388723 1.816964610597264e-18
455.0342765179551 1.8001630271575114e-18
455.1352219970379 1.7710853685223193e-18
455.23616747612067 1.7805313563626047e-18
455.33711295520345 1.835037744753958e-18
455.4380584342863 1.8366547332823416e-18
455.5390039133691 1.8512728279972805e-18
455.63994939245185 1.805979343357342e-18
455.74089487153464 1.7602939583885965e-18
455.8418403506174 1.8660270870910947e-18
455.94278582970026 1.8397314833412564e-18
456.043731308783 1.8187541602119295e-18
456.1446767878658 1.9073270633335997e-18
456.2456222669486 1.939043943604097e-18
456.3465677460314 1.8790004663960372e-18
456.44751322511416 1.7630316331577635e-18
456.54845870419695 1.7366545144201443e-18
456.6494041832798 1.86327967041292e-18
456.75034966236257 1.844331898060984e-18
456.85129514144535 1.854357735323591e-18
456.95224062052813 1.8776020942199943e-18
457.0531860996109 1.8263570684763482e-18
457.1541315786937 1.8288162213848487e-18
457.2550770577765 1.931987559481558e-18
457.3560225368593 1.9041924204420492e-18
457.4569680159421 1.8456949430068856e-18
457.5579134950249 1.8164858964003867e-18
457.65885897410766 1.85315881564472e-18
457.75980445319044 1.8790972312326166e-18
457.8607499322732 1.853969822286169e-18
457.961695411356 1.8174512761478483e-18
458.06264089043884 1.7983354647273e-18
458.1635863695216 1.7944306237335895e-18
458.2645318486044 1.870745074211959e-18
458.3654773276872 1.8430783829849446e-18
458.46642280676997 1.7600329482358417e-18
458.5673682858528 2.1018686746878197e-18
458.66831376493553 1.7512100266207943e-18
458.7692592440184 1.8228657473849803e-18
458.87020472310115 1.7252921934002407e-18
458.97115020218394 1.7148267398226215e-18
459.0720956812667 1.751727351128003e-18
459.1730411603495 1.8057493812537206e-18
459.27398663943234 1.7928566504719478e-18
459.37493211851506 1.746742490490339e-18
459.4758775975979 1.798908055095742e-18
459.5768230766807 1.8176585059278566e-18
459.67776855576346 1.775869714684372e-18
459.77871403484625 1.9045809166010854e-18
459.879659513929 1.810326595697098e-18
459.98060499301187 1.7822132061224056e-18
460.08155047209465 1.7971957994606536e-18
460.18249595117743 1.8311372202350625e-18
460.2834414302602 1.7881812790493307e-18
460.384386909343 1.77833246683975e-18
460.4853323884258 1.810933192341252e-18
460.58627786750856 1.82137210717383e-18
460.6872233465914 1.7969676219558424e-18
460.7881688256742 1.778041009196344e-18
460.88911430475696 1.7409056699648473e-18
460.99005978383974 1.7481411308773324e-18
461.0910052629225 1.7959584798091854e-18
461.1919507420053 1.7401489202231777e-18
461.2928962210881 1.7586743295979847e-18
461.3938417001709 1.7221819846616375e-18
461.4947871792537 1.6714209513107754e-18
461.5957326583365 1.7322571508188616e-18
461.69667813741927 1.7337888316482609e-18
461.79762361650205 1.7323741953311444e-18
461.8985690955849 1.7572070493627926e-18
461.9995145746676 1.90025169000612e-18
462.10046005375045 1.851309850274073e-18
462.20140553283323 1.794432065621985e-18
462.302351011916 1.7657799035115057e-18
462.4032964909988 1.7620481681881745e-18
462.5042419700816 1.8101060674786197e-18
462.6051874491644 1.88063933950011e-18
462.7061329282472 1.8705268565024875e-18
462.80707840733 1.8175500135844883e-18
